Symptom,Condition,Severity,Duration,Possible Causes,Treatment,Age Group,Region
Vomiting,Gastroenteritis,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Global
Nausea,Flu,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Adults,Seasonal
Vomiting,Food Poisoning,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Global
Vomiting,Gastroenteritis,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Body Ache,COVID-19,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Global
Fever,Malaria,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Cough,COVID-19,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Tropical
Sore Throat,Tonsillitis,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Runny Nose,Allergies,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Seasonal
Vomiting,Food Poisoning,Mild,1 day,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Children,Tropical
Fever,Malaria,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Cold climates
Nausea,Migraine,Severe,1 week,"Viral infection, Bacterial infection, Stress","Pain relievers, Rest, Hydration",Adults,Seasonal
Shortness of breath,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Cough,Flu,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Children,Global
Sore Throat,Tonsillitis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Global
Fatigue,Chronic Fatigue Syndrome,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Runny Nose,Allergies,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Seasonal
Shortness of breath,Pneumonia,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Cold climates
Shortness of breath,Asthma,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Sore Throat,COVID-19,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Cold climates
Body Ache,Flu,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Tropical
Cough,Cold,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Cold climates
Runny Nose,Cold,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Tropical
Shortness of breath,Pneumonia,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Body Ache,Flu,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Seasonal
Vomiting,Gastroenteritis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Fatigue,Chronic Fatigue Syndrome,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Global
Fatigue,Anemia,Mild,1 day,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Cold climates
Runny Nose,Cold,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Tropical
Runny Nose,Allergies,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Cold climates
Vomiting,Food Poisoning,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Global
Vomiting,Gastroenteritis,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Seasonal
Shortness of breath,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Tropical
Body Ache,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Tropical
Headache,Stress,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Global
Fatigue,Anemia,Mild,1 day,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Seasonal
Sore Throat,COVID-19,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Children,Cold climates
Cough,Cold,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Tropical
Fatigue,Anemia,Mild,2 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Adults,Global
Body Ache,COVID-19,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Fatigue,Anemia,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Tropical
Cough,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Children,Cold climates
Fever,Malaria,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Global
Runny Nose,Allergies,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Global
Body Ache,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Cold climates
Fever,Malaria,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Body Ache,COVID-19,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Fatigue,Anemia,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Seasonal
Runny Nose,Allergies,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Global
Fever,Flu,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Cold climates
Headache,Migraine,Mild,2 days,"Viral infection, Bacterial infection, Stress","Pain relievers, Rest, Hydration",Adults,Seasonal
Sore Throat,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Sore Throat,Tonsillitis,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Cough,Flu,Mild,1 day,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Children,Tropical
Runny Nose,Cold,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Cold climates
Body Ache,Flu,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Adults,Cold climates
Cough,Bronchitis,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Adults,Tropical
Fatigue,COVID-19,Mild,2 days,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Tropical
Headache,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Seasonal
Fatigue,COVID-19,Mild,1 day,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Sore Throat,Cold,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Cold climates
Shortness of breath,Asthma,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Cold climates
Shortness of breath,Pneumonia,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Seasonal
Cough,Flu,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Children,Seasonal
Fatigue,Anemia,Mild,1 day,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Adults,Global
Runny Nose,Cold,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Children,Seasonal
Body Ache,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Elderly,Cold climates
Sore Throat,Cold,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Global
Vomiting,Food Poisoning,Moderate,1 week,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Children,Seasonal
Cough,COVID-19,Severe,1 week,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Adults,Seasonal
Body Ache,Flu,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Pain relievers",Elderly,Cold climates
Cough,Bronchitis,Severe,1 week,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Children,Cold climates
Nausea,Food Poisoning,Severe,Several weeks,"Viral infection, Bacterial infection, Stress","Hydration, Anti-nausea medications",Adults,Cold climates
Fatigue,Anemia,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Iron supplements, Rest",Elderly,Cold climates
Sore Throat,Cold,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration, Decongestants",Adults,Seasonal
Sore Throat,COVID-19,Moderate,2-3 days,"Viral infection, Bacterial infection, Stress","Oxygen therapy, Rest, Hydration",Children,Global
Fatigue,Chronic Fatigue Syndrome,Mild,2 days,"Viral infection, Bacterial infection, Stress","Rest, Hydration",Elderly,Tropical
